gene_accession,SOY05u_t2_M_MB,SOY01u_t2_M_MB,SOY04e_t2_M_MB,SOY03e_t2_M_MB,SOY02u_t2_M_MB,SOY05e_t2_M_MB,SOY02e_t2_M_MB,SOY03u_t2_M_MB,SOY01e_t2_M_MB,SOY04u_t2_M_MB
MEG_5850/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACK,8,0,0,0,0,0,0,6,0,0
MEG_6676/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2583/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRK,0,0,0,0,0,0,0,0,0,8
MEG_2887/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/FARR,0,0,0,0,32,0,0,0,0,0
MEG_8434/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,24,0,0,0,0,0
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,6,0,0,2
MEG_6901/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_7179/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,0,0,0,0,9,0,0,0
MEG_1072/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_PRIME,0,0,0,0,0,18,28,0,0,0
MEG_2085/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,6,0,2,4,112,53,2,8,107,28
MEG_8250/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,677,1570,773,733,2274,1053,1031,2214,1668,3054
MEG_7802/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VMLR,0,0,0,0,144,0,0,0,0,132
MEG_8739/Drugs/betalactams/Class_B_betalactamases/VMB,0,0,0,0,0,0,0,0,0,16
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,87,146,121,74,172,118,116,223,172,308
MEG_137/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,8,0,0,0,0,10,0,0,0,0
MEG_3757/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTJ,0,1,0,0,14,33,0,0,0,41
MEG_5387/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,23,0,0,0,18,0,0,0,0,63
MEG_1992/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,33,18,0,11,0,40
MEG_1289/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,10,0,0,0,8,0,0,0
MEG_6671/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6796/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,2,0,0,4,0,0,0
MEG_7180/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,14,0,0,0,0,0,20,0,0
MEG_2959/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,7,3,15,8,1,6,9,14
MEG_3889/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR2,0,0,0,0,0,8,0,0,0,0
MEG_6114/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,182,180,192,127,258,174,205,374,318,402
MEG_7257/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/TLRCM,0,0,0,0,243,117,0,115,0,266
MEG_7208/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,6,4,8,18,8,6,4,16,20
MEG_7220/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,11,10,6,12,11,14,9,5,12
MEG_5343/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,847,408
MEG_1609/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,4,0,0,0,0,2,4,2,0
MEG_3199/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,126,122,110,94,289,165,151,228,338,449
MEG_8243/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFD,0,0,0,0,0,0,36,0,0,0
MEG_1218/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,16,0,18,0,32,0,36,0,0,48
MEG_2660/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,0,12,0,0,0
MEG_751/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,0,0,0,0,0,6,0
MEG_318/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,0,8
MEG_3003/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,10,0,0,0,0,0
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,32,56,0,0,54,40,0,86,64,172
MEG_3231/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,310,120,173,192,116,356
MEG_702/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADEN,0,0,0,0,30,20,34,0,0,0
MEG_6591/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,17,2,0,0,0,14,7,2,4
MEG_6929/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,2,2,0
MEG_3735/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_protein/MDEA,0,0,0,0,24,0,0,0,0,0
MEG_8228/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,4,0,0,0,0,0
MEG_6541/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,2,0,0,40,0,0,0,0,42
MEG_8264/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/MTRR/RequiresSNPConfirmation,0,0,0,0,9,0,0,0,0,0
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,23,61,10,11,6,11,13,16,0,17
MEG_3876/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,0,14,0,8,18,0,0,6
MEG_8449/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,109,32,17,52,0,84
MEG_7826/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFED,0,0,0,0,24,0,0,0,0,52
MEG_401/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,38,8,56,34,724,510,102,101,394,275
MEG_8661/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/RANB,0,0,0,0,0,12,0,0,0,0
MEG_7273/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIB,0,0,0,0,0,0,0,0,0,80
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,5,0,0,0,2,6
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,0,0,33,12,10,11,13,29
MEG_7817/Biocides/Paraquat_resistance/Paraquat_efflux_pump/YDDG,0,0,26,0,82,38,0,54,0,76
MEG_2445/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,9,0,0,0,100,35,0,26,0,49
MEG_6047/Drugs/Rifampin/RNA_polymerase_binding_protein/RBPA,0,0,0,0,4,0,6,6,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,10,21,8,18,21,15,14,14,35,100
MEG_7038/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,110,149,69,88,163,160,164,238,187,353
MEG_2731/Drugs/Multi_drug_resistance/Multi_drug_SMR_efflux_regulator/EMRE,0,8,0,0,0,0,0,0,0,18
MEG_1189/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,8,5,0,5,184,53,3,11,0,46
MEG_6600/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,2,0,0,0,0,0,0,4,0
MEG_7836/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YJAA,0,0,0,0,10,37,0,0,0,0
MEG_7084/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,64,128,77,65,172,100,23,120,246,420
MEG_7822/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,16,0,34,0,0,12,15,41,0,56
MEG_4210/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,0,0,0,0,0,0,98,70,0
MEG_2685/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,5,6,0,0,0,0
MEG_5349/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,246
MEG_4351/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,25,0,0,0,0,19
MEG_5315/Drugs/betalactams/Class_A_betalactamases/OXY,2,0,0,0,4,0,0,0,0,0
MEG_6964/Drugs/Tetracyclines/Tetracycline_resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,4461,4772,2492,3622,10144,5392,4948,6696,5822,11558
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,0,0,5,12,11,0,10,57,18
MEG_6123/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,73,113,55,72,271,282,102,212,559,245
MEG_788/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,1,1
MEG_4356/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,15,0,0,0,0,0
MEG_6527/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,127,0,0,0,0,118
MEG_4347/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,98,7,0,0,0,12
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,22,0,15,0,123,41,0,32,119,62
MEG_3005/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,0,0,12
MEG_8433/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,32,0,28,0,0
MEG_7003/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET50,0,0,0,50,136,0,90,0,116,142
MEG_7090/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETK,0,0,0,0,0,0,0,0,0,20
MEG_6576/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SUGE,0,0,0,0,3,7,0,0,0,0
MEG_22/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC3,0,0,0,0,0,10,0,0,0,0
MEG_33/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC3,0,0,0,0,42,0,0,0,0,0
MEG_6133/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,89,98,40,83,178,104,79,141,182,213
MEG_492/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,2,0,9,0,0,0,4
MEG_7683/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGA,0,0,0,0,0,0,52,38,0,0
MEG_6587/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,2,0,0,0,0,3,8,0,2
MEG_6617/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,35,68,51,25,47,57,18,71,107,241
MEG_419/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,1,0,0,0,0,0
MEG_7112/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,8,10,15,13,23,31,15,17,24,27
MEG_6581/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,0,0,0,6
MEG_2/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,4104,5294,3929,3628,8635,6381,4622,9045,10909,14812
MEG_4174/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,0,0,5,0,35,31,0,0,0,0
MEG_1278/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,2,0,0,0,0
MEG_2643/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,4,0
MEG_7106/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,33,28,26,21,97,38,35,53,51,81
MEG_3341/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,20,0,0,0,0,0
MEG_2114/Drugs/Phenicol/Chloramphenicol_phosphotransferase/CPT,0,0,18,0,14,0,14,0,16,22
MEG_5976/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,24,0,0,0,0
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH9,36,0,0,0,74,0,28,312,80,132
MEG_3860/Metals/Mercury_resistance/Mercury_resistance_regulator/MERD,0,0,0,0,0,0,0,0,0,6
MEG_3337/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,14,0,0,0,0
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,8,0,0,0,109,112,0,0,0,126
MEG_460/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,2,2,0,0
MEG_3626/Drugs/Lipopeptides/Colistin_resistant_mutant/LPXA/RequiresSNPConfirmation,0,0,0,0,0,0,22,14,0,0
MEG_2779/Drugs/MLS/23S_rRNA_methyltransferases/ERM42,0,0,0,0,0,0,24,0,22,32
MEG_2789/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,0,1,0,0,0
MEG_5383/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,38,0,24,0,0,26,27,56,37,102
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,17,10,9,0,505,208,21,23,271,58
MEG_5923/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,1,0,0,0,0
MEG_483/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,2,0,0
MEG_7806/Drugs/Lipopeptides/Daptomycin_resistant_mutant/WALK/RequiresSNPConfirmation,0,0,0,0,0,0,0,210,0,136
MEG_7804/Drugs/Mycobacterium_tuberculosis_specific_Drug/Viomycin_phosphotransferases/VPH,0,0,0,0,0,0,0,0,0,14
MEG_7203/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETT,0,0,0,0,0,0,0,0,48,0
MEG_7471/Drugs/Glycopeptides/VanC_type_regulator/VANRC,26,50,0,0,68,48,32,0,0,82
MEG_2455/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,0,0,29,33,0,0,48,72
MEG_3992/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,17497,15926,9089,14194,34566,20190,17394,22852,23370,40682
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,12,14,14,0,16,0,0,26,40,40
MEG_6675/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,4,0,2,0
MEG_3416/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,0,0,0,10
MEG_3756/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,0,8,0,0,7,50,10,14,4,38
MEG_4324/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,11,6,2,0,0,0
MEG_6895/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,6,2,0,0
MEG_2121/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,14,0,102,197,16,32,175,65
MEG_2892/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FBPC,0,0,0,0,0,0,0,0,0,34
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,14,0,0,4,0,25,120,57,0,25
MEG_3665/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MCO,0,0,0,0,0,0,60,58,0,130
MEG_379/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,0,8,0,0,0,0,0,0,0,0
MEG_7853/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZNTA,0,0,33,12,397,374,33,63,0,101
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,184,254,190,239,341,281,298,426,343,632
MEG_8276/Drugs/betalactams/Class_A_betalactamases/OKP,0,0,0,0,2,0,0,0,0,0
MEG_4720/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,12,0,0,0,0,0,0
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,71,107,43,68,112,87,87,194,108,296
MEG_456/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,5,0,0,0,0,0
MEG_5749/Drugs/betalactams/Class_B_betalactamases/PEDO,0,0,0,0,0,0,0,0,0,48
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,0,0,0,0,65,98,0,0,0,0
MEG_3648/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LSAE,0,0,0,0,0,0,0,0,0,40
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,6,4,0,47,57,21,34,16,34,27
MEG_7327/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/TVAA,0,0,0,0,0,0,0,0,0,34
MEG_387/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,0,0,0,0,24
MEG_3006/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,18,18,0,22,12,50
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,0,0,0,0,0,0,0,6,0
MEG_3589/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,0,0,138,134,342
MEG_5354/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,36,0,0,68,118
MEG_3230/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,39,35,0
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,26,27,21,53,49,31,35,39,39
MEG_1801/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,4,0,0,0,0
MEG_2088/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORB,0,0,33,13,219,106,26,56,27,105
MEG_2675/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,2,0,4,6,0,6,0,0
MEG_453/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,3,0,0,0
MEG_3448/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/KDPE,0,0,0,0,50,95,20,8,0,39
MEG_3948/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,40,0,32,42,462,259,43,96,0,127
MEG_4825/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,14
MEG_3548/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,18,0,0,0,0,0
MEG_461/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,14,0,0,0,0
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,6,0,7,2,38,20,2,7,6,13
MEG_7863/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/ZRAS,0,0,0,0,2,1,0,0,0,0
MEG_4361/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,31,0,0,0,0,12
MEG_6686/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_6048/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RCNA,0,0,4,0,16,63,0,0,0,5
MEG_2086/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,5,0,0,10,95,29,7,9,141,28
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,12,0,11,0,67,47,8,0,158,33
MEG_6775/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_4670/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,10
MEG_3285/Metals/Nickel_resistance/Nickel_resistance_protein/HUPN,0,0,0,0,38,0,0,0,0,0
MEG_5780/Drugs/Lipopeptides/Daptomycin_resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,12,0,0,0
MEG_6517/Drugs/betalactams/Class_B_betalactamases/SLB,0,0,0,0,0,24,0,36,0,84
MEG_1629/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,20,0,0,0,0,0
MEG_2580/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRI,0,0,20,0,0,0,0,0,0,0
MEG_3842/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,0,31,0,0,2,0
MEG_7303/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,487,433,314,385,954,569,455,676,726,1196
MEG_2091/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,27,24,21,25,163,129,26,30,162,76
MEG_6519/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMDA,55,56,57,16,486,200,95,59,147,252
MEG_5391/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,23,0,0,0,20,32,26,40,26,85
MEG_1177/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,0,0,0,17,45,0,0,0,52
MEG_1633/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATS,0,0,0,0,0,0,0,6,0,0
MEG_1557/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,0,0,5,0,0,0,0,0
MEG_796/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_8452/Drugs/Multi_drug_resistance/MDR_regulator/PARS,0,0,0,0,40,0,0,0,0,0
MEG_4325/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,8,60,10,4,0,0,14
MEG_4329/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,4,0,0,0,30,17,0,0,0,0
MEG_3273/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/HP,0,0,0,0,0,0,0,0,24,46
MEG_7213/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,16,36,33,18,61,31,30,36,20,63
MEG_3176/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,112,0,0,0,0,163
MEG_2045/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,36,0,0,0,0,28
MEG_2696/Drugs/betalactams/Class_B_betalactamases/EBR,0,0,0,0,0,0,0,0,0,30
MEG_8432/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,48,0,0,86
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,22,54,33,36,97,42,40,38,40,113
MEG_3280/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,0,0,0,0,0,0,30
MEG_7577/Drugs/Glycopeptides/VanC_type_resistance_protein/VANXYC,0,0,0,0,0,0,0,10,0,0
MEG_6768/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_4066/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,80,0,0,0,96,0,0,78,0,132
MEG_1740/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEB,0,0,0,0,0,0,0,0,0,128
MEG_3396/Drugs/betalactams/Class_B_betalactamases/IMP,0,11,0,0,0,0,0,0,0,0
MEG_2316/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,4,0,0,14,0
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,0,24,0,128,0,0,0,50,104
MEG_5966/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,10,0,0,0,0
MEG_6795/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,2,0,0
MEG_6609/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,2,2,0,0,0,0,0,0,0,4
MEG_414/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,30,0,0,0,103,16,0,18,0,40
MEG_7211/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,34,65,36,37,167,40,72,55,32,129
MEG_6825/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,2,0,0
MEG_4090/Drugs/Mupirocin/Mupirocin_resistant_isoleucyl_tRNA_synthetase/MUPA,0,0,0,0,0,0,0,0,0,68
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,0,18,0,0,14,0,0,14,8,32
MEG_752/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_5847/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,0,0,12,0,4,0
MEG_4792/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,18,0,0,10
MEG_972/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,1,1
MEG_3740/Drugs/Multi_drug_resistance/MDR_23S_rRNA_mutation/MDR23S/RequiresSNPConfirmation,0,0,0,0,40,0,0,67,59,54
