gene_accession,CAC10u_t2_M_AB,CAC09e_t2_M_AB,CAC10e_t2_M_AB,CAC08e_t2_M_MB,CAC08u_t2_M_MB,CAC07e_t2_M_MB,CAC06u_t2_M_AB,CAC09u_t2_M_AB,CAC07u_t2_M_MB,CAC06e_t2_M_AB
MEG_1162/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,0,15,0,12,0,0,0,0
MEG_3071/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSE/RequiresSNPConfirmation,0,8,0,21,19,25,22,0,13,11
MEG_6720/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,2,0,0,0,0,0,0
MEG_3073/Drugs/Fusidic_acid/Fusidic_acid_esterases/FUSF,0,0,0,0,0,16,0,0,0,0
MEG_410/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,0,19,0,14,0,16,0,0,48,0
MEG_411/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,41,0,12,0,13,0,0,19,0
MEG_6769/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_6666/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,2,0,0,0
MEG_7452/Drugs/Glycopeptides/VanA-type_regulator/VANRA,0,0,0,0,0,0,0,0,6,0
MEG_3194/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,24,18,0,0,28,39,29,0,27,15
MEG_3227/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,12,0,10,0,6,0,0,8,0
MEG_968/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,6,2,0,0,1,0
MEG_7622/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATB,0,0,0,0,0,0,0,0,0,22
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,33,44,66,42,76,73,44,36,75,14
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,18,0,0,0,0,0,0,0,0,12
MEG_2980/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,0,0,0,0,0,0,0,8
MEG_7043/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,215,205,212,141,230,195,134,169,133,103
MEG_7019/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,3,8,0,5,0,8,0
MEG_5386/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,32,0,0,0,0,0,0,0
MEG_3761/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,0,10,0,6,0,0,0,0
MEG_409/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,0,16,0,21,0,12,0,0,48,0
MEG_4215/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/NPMA,0,0,0,0,0,24,0,0,0,0
MEG_3224/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,66,50,61,28,92,140,70,112,55,43
MEG_6501/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILC,0,0,5,11,0,0,0,0,3,0
MEG_2794/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,2,2,0,0,2,0,6,7
MEG_6712/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,0,5,0,0,14,0,0,6
MEG_3647/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LSAC,0,0,0,0,36,54,0,0,0,0
MEG_3250/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,19,0,41,0,15,43,11,41,0
MEG_3752/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,24,0,49,0,24,0,0,44,0
MEG_2677/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,0,0,1,0
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,51,0,0,90,69,77,0,50,50
MEG_8648/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,6,2,0,0,0,0
MEG_6093/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,436,597,943,784,794,531,991,602,685,826
MEG_1143/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,14,0,81,0,0,0,0
MEG_401/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,52,39,52,0,100,13,0,115,54
MEG_1615/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,4,0,0,0,0,0,4,0,0
MEG_3237/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,46,39,105,63,85,59,81,81,54,59
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,36,43,40,54,65,21,15,45,11
MEG_3082/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,0,0,0,0,0,0,0,0,4,0
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,23,20,24,17,26,46,23,12,24,47
MEG_2731/Drugs/Multi-drug_resistance/Multi-drug_SMR_efflux_regulator/EMRE,0,0,0,0,14,0,0,0,0,6
MEG_2684/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,2,0,0,0,0,2,0
MEG_6128/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,71,45,81,57,58,106,85,58,65,95
MEG_2091/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,24,0,31,16,0,12,16,10,14,34
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,4,2,2,0,6,0,0,19,0
MEG_1216/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,0,0,0,0,0,24,0,0,0,0
MEG_1603/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,7,2,0,0,0,0,6,0,0
MEG_6083/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/ROSA,0,7,0,10,0,0,0,0,0,0
MEG_3233/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,24,0
MEG_1992/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,9,0,4,1,0,8,0
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,128,114,183,151,188,311,153,127,151,203
MEG_6099/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,43,57,61,45,72,90,45,34,54,88
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,193,141,198,111,158,153,121,154,104,98
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,16,21,0,33,0,0,40,0
MEG_1600/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,7,0,0,0,0,0,1,0,0
MEG_4741/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,22,14,0,0,0
MEG_2448/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,4,0,8,0,1,0,0,8,4
MEG_7867/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,0,3,0,6,0,2,0,0,6,0
MEG_6755/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2964/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,7,2,9,0,0,0,8,0,0
MEG_6900/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,5,0,0,0,0,0,0
MEG_6912/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,6,2,0,0,0,0
MEG_6016/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,2,0,3,0,0,0,0,0,0
MEG_6139/Drugs/Lipopeptides/Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC/RPOCL/RequiresSNPConfirmation,1592,1830,1914,1200,1772,2098,1969,1556,1435,1409
MEG_6095/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,46,0,0,0,57
MEG_6520/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMDB,0,24,18,18,0,24,0,0,37,25
MEG_8252/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1085,1390,1192,917,1902,2028,1392,1441,1362,1669
MEG_2700/Drugs/Cationic_antimicrobial_peptides/Edeine_acetyltransferase/EDEQ,0,0,0,8,26,0,0,38,0,0
MEG_488/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,3,0,0,0,0,0,2,0
MEG_7064/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,14,2,6,6,0,16,6,5,8,6
MEG_7037/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,156,108,132,62,102,87,85,112,58,52
MEG_6539/Biocides/Multi-biocide_resistance/Multi-biocide_MFS_efflux_pump/SMVA,0,0,0,19,0,0,0,0,0,0
MEG_3513/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,0,4,0,12,0,10,10,0,18,21
MEG_3765/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTP,0,10,0,13,0,19,0,0,41,0
MEG_3740/Drugs/Multi-drug_resistance/MDR_23S_rRNA_mutation/MDR23S/RequiresSNPConfirmation,0,0,0,0,0,0,0,34,0,0
MEG_2844/Drugs/MLS/23S_rRNA_methyltransferases/ERMR,0,6,10,14,0,18,27,7,0,11
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,2,2,13,14,0,31,0,22,122,0
MEG_2120/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,6,0,0,0,3,0,7,0
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,50,89,94,120,112,67,115,72,74,126
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,5,0,5,5,0,0,0,3
MEG_5787/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PITA,0,31,30,42,0,15,5,0,48,42
MEG_2898/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETA,18,46,0,21,36,50,22,24,34,0
MEG_6125/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,274,316,342,234,427,481,353,380,254,406
MEG_7876/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,1,0,0,0,0,0,0,0,0
MEG_1983/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,4,0,0,0,0,0,0
MEG_5211/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,1,0
MEG_7857/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,0,4,0,6,0,0,0,0
MEG_7104/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,73,114,186,149,213,233,58,110,148,50
MEG_6548/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/SOXR/RequiresSNPConfirmation,0,1,0,2,0,0,0,1,5,4
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,60,74,119,101,251,0,106,80,91
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,15,4,0,0,24,10,0,0,0,0
MEG_3243/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,71,0,80,0,96,77,0,79
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,16,17,44,6,37,0,0,46,33
MEG_7667/Drugs/betalactams/Class_A_betalactamases/VEB,5,0,8,12,0,0,0,0,0,0
MEG_6621/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,17,25,9,15,96,48,19,36,27,14
MEG_6162/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,9,0,0,0,8,0
MEG_413/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,11,1,0,0,0,0,0,26
MEG_7474/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,16,0,0,20,0,30,0,16,0
MEG_6500/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILB,0,0,24,16,0,22,0,0,45,0
MEG_3252/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/HASF,0,0,0,24,0,0,0,0,0,0
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,66,103,157,123,160,260,48,79,148,21
MEG_281/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,10,0,0,0
MEG_2720/Biocides/Multi-biocide_resistance/Multi-biocide_MATE_efflux_pump/EMMDR,0,17,22,11,0,23,16,0,60,31
MEG_5978/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,2,0,0,0,0,0
MEG_3759/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,14,0,14,0,0,17,8
MEG_7266/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,7,0,0,0,0
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,0,24,4,30,0,20,4,0,45,6
MEG_6951/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_6147/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSH/RequiresSNPConfirmation,3102,2328,3074,1925,2922,3399,2479,2468,1973,2220
MEG_7606/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,0,0,0,10,0,0,0,0,0
MEG_8676/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSE/RequiresSNPConfirmation,0,0,0,10,0,0,0,0,0,0
MEG_6830/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7228/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,10,20,16,14,10,4,4,18,4
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,0,14,7,18,0,27,35,11,0,7
MEG_6048/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RCNA,0,0,0,2,0,0,0,0,10,0
MEG_6589/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,4,0,0,0,0,0,0,0,0
MEG_8013/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,4,0,0,0,0,0,0,0,0
MEG_283/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,12,0,0,8
MEG_6930/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7160/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,2,0,0,0,0,0,0
MEG_7129/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,16,19,33,38,51,42,19,25,39,13
MEG_3390/Drugs/betalactams/Class_B_betalactamases/IMP,0,5,4,0,0,0,0,0,0,0
MEG_4297/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/OPRJ,0,0,0,0,20,0,0,0,0,0
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,2,2,0,6,8,0,8,12
MEG_7051/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,206,157,204,108,184,168,101,168,77,105
MEG_933/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_4347/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,10,0
MEG_3993/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,167,165,253,256,234,213,354,235,193,290
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,3,4,6,0,0,0,0,5,0
MEG_389/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,1,0,0,0,0
MEG_3183/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,31,0,0,0,0
MEG_1193/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,5,0,14,0,4,0,0,11,0
MEG_6819/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_8678/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,108,69,88,48,76,88,42,120,49,65
MEG_5794/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/PMPM,0,2,0,0,0,0,0,0,0,0
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,107,84,138,108,116,123,89,99,137,136
MEG_1616/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,6,0,0,0,0,0,7,0,0
MEG_6754/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,2,0,0,0,0,0,0
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,2,3,0,1,0,2,0
MEG_7139/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,5,7,17,22,8,18,16,6,13,3
MEG_995/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,60,0,0,8,122,11,126,145
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,22,13,34,27,49,41,23,15,48,5
MEG_2378/Drugs/betalactams/Class_A_betalactamases/CTX,0,1,2,0,0,6,2,0,0,659
MEG_2477/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNB,0,0,0,0,0,0,46,0,22,0
MEG_384/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,0,0,0,4,0,0,0,0
MEG_6141/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,0,15,22,42,4,12,6,0,50,40
MEG_1194/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,18,35,16,0,35,0,0,17,0
MEG_4167/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKA,0,16,0,22,0,8,0,0,44,0
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,0,0,18,21,12,33,0,0,15,0
MEG_6127/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,65,0,17,0,0,0
MEG_6595/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,0,2,2,0
MEG_8686/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/RSMA,12,2,4,6,0,2,2,6,4,14
MEG_6098/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,62,46,85,64,90,122,73,58,68,78
MEG_1950/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,2,0,0,0,0,0,0
MEG_6689/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_6894/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7222/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,5,0,0,0,0,0,2,4
MEG_6906/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,2,0,0,0
MEG_7060/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,4,2,15,9,0,23,0,13,62,0
MEG_6044/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/RAMA,0,0,9,9,0,0,0,0,4,0
MEG_7118/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,36,50,79,71,99,101,26,39,68,5
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,3,11,11,20,22,12,8,14,0
MEG_5321/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/OXYRKP,0,21,24,28,8,11,0,4,38,10
MEG_3985/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,125,148,268,202,230,211,288,200,192,290
MEG_7147/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,7,0,9,0,0,10,0,0
MEG_2084/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,12,8,18,6,12,9,0,16,29
MEG_3990/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,493,528,939,865,783,789,1058,681,767,983
MEG_414/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,6,0,0,0,0,0,2,0
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,128,0,0,0,0,80,64,70,77,0
MEG_4171/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,8,0,3,0,0,0,0,22,0
MEG_6609/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,8,0,0,0,0,0,8,0,0
MEG_6575/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,0,0,7,0,0,0,0,0,0
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,50,66,14,0,0,56,0,0,18
MEG_1211/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,3,2,0,0,2,0,0,0,0
MEG_2733/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRK,0,0,0,6,0,6,0,0,0,0
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,6,3,0,0,0,0,2,7
MEG_7210/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,22,37,62,53,57,18,26,38,42,10
MEG_7084/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,20,62,38,26,244,168,36,85,100,8
MEG_3140/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,2,7,8,0,2,0,0,4,4
MEG_4663/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,16,0,0,0
MEG_6832/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7224/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,17,28,39,48,62,10,10,22,32,6
MEG_8272/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMK,0,8,12,0,0,0,0,0,8,0
MEG_1955/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,2,0,0,0,0,0
MEG_7108/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,14,30,58,60,66,71,23,28,49,6
MEG_6552/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS/RequiresSNPConfirmation,0,2,6,9,0,6,0,0,7,0
MEG_6176/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/SDIA,0,0,39,0,0,0,0,0,19,0
MEG_1170/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSP,0,0,0,0,0,20,0,0,0,0
MEG_1488/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADX,20,0,46,0,8,14,28,0,0,24
MEG_8706/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,196,119,269,75,163,189,164,115,109,0
MEG_3217/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,121,127,157,79,176,183,116,147,116,213
MEG_6869/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_3751/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTE,0,15,0,12,0,10,0,0,14,0
MEG_7820/Biocides/Acid_resistance/Acid_resistance_protein/YDEP,0,14,0,12,0,8,0,0,30,0
MEG_4333/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,7,1,0,0,0,0,0,0
MEG_6606/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,4,0,4,0,0,0,3,0,0
MEG_8708/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,7,56,0,14,0,27,0
MEG_4168/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,6,0,4,0,3,0,0,30,4
MEG_2121/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,2,14,8,10,2,0,0,22,23
MEG_6825/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_1096/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,26,13,15,3,34,8,3,29,4,4
