gene_accession,HBB04e_t2_M_BC,HBB05e_t2_M_BC,HBB03e_t2_M_BC,HBB04u_t2_M_BC,HBB03u_t2_M_BC,HBB02u_t2_M_BC,HBB02e_t2_M_BC,HBB01u_t2_M_BC,HBB01e_t2_M_BC,HBB05u_t2_M_BC
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,17,78,0,0,0,33,22,0,16,2
MEG_7143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,65,26,16,47,9,14,23,27,13,65
MEG_2725/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,26,15,11,0,16,23,21,33,60,0
MEG_6851/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,14
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,203,147,203,234,179,203,128,312,326,280
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,32,0,6,4,7,0,0,0,26
MEG_951/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,4,0,0,0,0,0,0,0
MEG_6698/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,29,18,18,26,21,8,16,13,18,28
MEG_4070/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,44,0,0,0,0,0,0,0,0,0
MEG_2789/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,10,2,12,2,0,0,0,14,18
MEG_6806/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2454/Metals/Copper_resistance/Copper_resistance_protein/CUTA,22,0,0,0,0,0,0,0,68,0
MEG_9/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1876,2195,1137,3052,1568,1941,1066,1299,1384,2915
MEG_1159/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,0,0,0,0,0,0,0,4
MEG_6111/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,139,191,68,264,148,142,97,84,118,202
MEG_8152/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,252,0,0,0,0,236,0,0,0,292
MEG_3912/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,0,48,0,0,0,0,0,0,0
MEG_8271/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMG,0,0,0,10,8,0,0,0,0,0
MEG_3894/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,20,0,0,0,0
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,241,165,96,185,144,232,99,197,158,248
MEG_8436/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,38,0,0,0,0
MEG_1150/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,0,0,0,6,0,0,0,0,0,0
MEG_3184/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,270,158,184,260,293,271,234,275,284,394
MEG_7210/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,55,17,13,52,29,21,10,30,23,17
MEG_1743/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMED,0,0,56,0,0,0,0,0,0,134
MEG_7145/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,116,74,45,89,32,58,40,33,51,109
MEG_398/Metals/Arsenic_resistance/Arsenic_resistance_membrane_transporter/ACR3,66,0,90,84,78,102,70,132,290,94
MEG_3526/Drugs/betalactams/Class_B_betalactamases/L1,0,0,0,0,0,0,0,0,9,0
MEG_7023/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,66,0,0,0,0,0,0,0,0,0
MEG_251/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,10,0,0,0,0
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,6,4,4,5,2,0,0,0,12,20
MEG_7229/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,128,55,52,108,61,68,55,66,63,87
MEG_7330/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,16,19,0,16,0,0,0,0,0,0
MEG_2049/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,0,0,0,6,0,0,0,0
MEG_6106/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,550,2139,440,3168,591,602,393,275,430,2410
MEG_3754/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,4,0,0,0,0,0,0,0,0
MEG_6705/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_3597/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LMRD,0,0,62,128,94,0,100,66,0,118
MEG_6934/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7224/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,48,42,10,31,32,12,18,19,12,32
MEG_415/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRS,19,0,0,6,0,0,0,0,0,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,52,24,8,32,26,6,16,16,10,26
MEG_7205/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETV,0,0,0,0,20,0,0,0,0,0
MEG_3246/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,183,297,169,262,205,218,225,169,231,324
MEG_3932/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MEXT/RequiresSNPConfirmation,0,0,8,0,0,20,0,0,0,0
MEG_2626/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,14,0,12,0,0,0,0
MEG_6127/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,54,0,56,0,0,73,36,54,57,162
MEG_5419/Metals/Copper_resistance/Copper_resistance_protein/PCOC,0,0,0,0,0,0,0,0,0,20
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,6,0,0,0,0,0,0,5,0,0
MEG_6814/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_1564/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,2,0,0,8,0,0
MEG_7184/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,20,12,0,0,0,0,0,0,0
MEG_8650/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,14,23,0,0,0,0,0,42
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,32,0,47,0,0,0,0,0,41
MEG_4160/Metals/Chromium_resistance/Chromium_resistance_protein/NFSA,0,0,0,8,0,0,0,0,0,0
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,20,0,0,0,42,0,0
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,18,14,16,0,16,12,0,15,0,28
MEG_6107/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,197,217,136,111,190,221,157,317,336,255
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,136,190,82,140,148,128,103,64,118,210
MEG_5363/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,34,0,23,0,0,28,0,0,25,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,4,0,16,0,0,0,0,7,11
MEG_4171/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,16,2,0,3,0,0,0,0,0,0
MEG_6082/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ROBA,15,6,0,0,0,0,0,0,0,0
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,167,196,141,263,163,157,139,133,155,294
MEG_6763/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,0,0,0,0,0,0,0,0
MEG_6716/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6176/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/SDIA,0,70,0,0,0,0,0,52,0,0
MEG_6785/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_1148/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,6,5,21,8,0,0,0,0,116,0
MEG_6883/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,18
MEG_2685/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,2,0,0,0,0,0,0,0,0,0
MEG_768/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,4,0,0,0,0,0,0,0
MEG_6119/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,214,0,162,0,176,227,134,242,228,344
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,6,0,0,4,0,0,0,0,0,0
MEG_6504/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILF,0,0,0,0,0,0,0,0,0,4
MEG_2446/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSA,51,48,0,0,0,0,0,0,0,0
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,30,0,0,20,0,0,0,0,0,0
MEG_2076/Metals/Copper_resistance/Copper_resistance_regulator/COPS,0,0,0,0,36,0,0,0,0,0
MEG_3990/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2045,1063,959,1585,1255,1997,1127,1392,1080,2277
MEG_7609/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,0,18,26,0,0,0,0,0,0,8
MEG_5409/Drugs/betalactams/Penicillin_binding_protein/PBP4B,6,6,0,0,0,0,0,0,0,0
MEG_6526/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,32,0,0,0,0,44,0,0
MEG_1005/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,0,0,0,0,0,0,0,22
MEG_3803/Drugs/betalactams/Penicillin_binding_protein_regulator/MECI,0,4,0,0,0,4,4,0,0,8
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,16,7,0,0,18,11,0,122,0
MEG_4792/Drugs/betalactams/Class_D_betalactamases/OXA,18,60,0,78,58,14,0,0,0,0
MEG_6801/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,2
MEG_7316/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,129,98,126,109,158,155,151,156,182,238
MEG_4287/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,7,18,7,0,20,19,0,71,0
MEG_2117/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,27,46,0,26,0,0,99
MEG_7140/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,202,134,50,185,42,61,61,53,68,188
MEG_2121/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,12,0,11,9,0,12,8,12,66,0
MEG_7037/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,173,144,117,148,142,141,62,130,145,154
MEG_7806/Drugs/Lipopeptides/Daptomycin-resistant_mutant/WALK/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,168
MEG_1000/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,0,32,0,0,0,0
MEG_5396/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARY,693,383,309,583,396,682,304,489,440,870
MEG_7402/Drugs/Glycopeptides/VanA-type_resistance_protein/VANHA,0,0,0,28,0,0,0,0,0,0
MEG_2080/Metals/Copper_resistance/Copper_resistance_regulator/COPY,0,0,0,0,12,0,12,0,0,0
MEG_1490/Drugs/Cationic_antimicrobial_peptides/Cationic_peptide-resistant_16S_ribosomal_subunit_protein/CAP16S/RequiresSNPConfirmation,4521,3938,2833,4750,3908,4286,2704,3409,4487,5381
MEG_6618/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,15,11,15,37,24,4,17,9,2,6
MEG_5389/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,157,0,108,0,0
MEG_7537/Drugs/Glycopeptides/VanA-type_accessory_protein/VANWA,0,0,0,17,0,0,0,0,0,0
MEG_2583/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRK,0,0,0,0,0,0,0,0,0,12
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,176,134,93,120,95,159,78,153,0,112
MEG_3986/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1976,1956,1791,1744,2139,2437,1222,1629,1863,3827
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,14,12,4,5,7,0,8,0,0,0
MEG_1086/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,39,47,8,11,6,6,13,8,4,63
MEG_7823/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,34,0,0,0,50,38,31,30,22,38
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,40,52,0,62,0,80,46,0
MEG_3996/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MMR,0,0,4,0,0,0,0,0,0,0
MEG_5334/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,36,53,30,52,72,58,112,129,0
MEG_6681/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,333,286,274,328,389,454,320,315,365,470
MEG_794/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,1
MEG_3295/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES,1641,878,650,1240,995,1597,741,1073,948,1869
MEG_3977/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,25258,16482,17516,18932,23466,24363,16909,22785,27627,27919
MEG_4667/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,58,0,50,52,38,0,0,0
MEG_8722/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TVAB,0,0,152,0,82,0,0,136,222,98
MEG_7304/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,69,85,46,33,83,26,0,45,12,54
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,0,0,0,6,0,0,0,0,0,0
MEG_7110/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,63,46,17,48,21,42,49,34,30,66
MEG_7525/Drugs/Glycopeptides/VanC-type_resistance_protein/VANTC,144,0,108,0,122,0,0,0,0,0
MEG_3947/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,77,54,0,100,30,0,0,0,0,76
MEG_6930/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,7
MEG_4223/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/O23S/RequiresSNPConfirmation,14937,24969,9329,32903,12683,12967,8479,8621,10522,25291
MEG_1225/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/BEPE,0,39,0,0,30,85,0,177,0,0
MEG_1210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,5,0,0,0,0,0,4,0,16,0
MEG_7306/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,220,88,177,161,157,219,102,241,165,236
MEG_1569/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,14,0,0,0,0
MEG_7342/Drugs/Glycopeptides/VanA-type_resistance_protein/VANA,0,0,0,2,0,0,0,0,0,0
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,113,0,165,77,255,0,54,74,49,68
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,1750,3459,1228,4709,1488,1734,1091,1188,1237,3782
MEG_6910/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,7,4,9,0,0,0,14,0,47,35
MEG_6108/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,249,240,235,217,344,339,324,220,927,404
MEG_6842/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,4
MEG_6537/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/SMTA,0,0,0,0,0,0,6,0,0,0
MEG_1655/Metals/Chromium_resistance/Chromate_ABC_efflux_pump/CEUE,34,0,0,0,0,26,0,50,0,0
MEG_804/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_6903/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2715/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/EMHA,0,6,12,0,0,28,0,0,0,0
MEG_8709/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,2,0,0,0,0
MEG_6674/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6748/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_8074/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/DHPS/RequiresSNPConfirmation,0,0,0,0,42,0,0,0,0,70
MEG_3515/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,0,6,4,0,0,2,0,0,28,0
MEG_6654/Metals/Copper_resistance/Copper_resistance_protein/TCRZ,0,0,0,0,0,4,14,0,0,0
MEG_3142/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,4,0,0,0,0,0,0,0,0
MEG_7514/Drugs/Glycopeptides/VanL-type_regulator/VANSL,0,0,0,0,0,26,0,0,0,0
MEG_6730/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,2
MEG_2781/Drugs/MLS/23S_rRNA_methyltransferases/ERM42,0,0,0,16,0,0,16,0,14,0
MEG_1119/Drugs/Multi-drug_resistance/MDR_regulator/ARLS,0,0,0,0,38,0,0,0,0,0
MEG_3992/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,29208,41938,15527,55479,23598,25970,17049,13878,20288,42737
MEG_3188/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,118,139,92,91,130,126,92,113,168,145
MEG_6155/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/RUVBM,24,0,0,0,0,36,0,0,12,0
MEG_7118/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,151,67,23,108,18,38,10,33,10,115
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,12,10,14,0,7,8,0,119,0
MEG_3240/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,75,90,125,0,139,40,0,61,46,145
MEG_7584/Drugs/Glycopeptides/VanC-type_resistance_protein/VANXYC,0,0,14,0,0,30,30,36,0,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,64,96,66,0,72,58,0,98,154,52
MEG_7802/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/VMLR,0,0,0,0,0,0,0,0,0,106
MEG_6918/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,697,324,335,470,487,552,312,605,283,616
MEG_2824/Drugs/MLS/23S_rRNA_methyltransferases/ERMD,0,0,0,0,0,0,0,10,0,0
MEG_811/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,1,0,0,0,0,0,0,0
MEG_6936/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,8
MEG_6872/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6109/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,378,325,170,202,209,395,198,381,280,429
MEG_1178/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARST,0,0,0,0,0,0,0,0,0,5
MEG_6571/Drugs/betalactams/Class_C_betalactamases/SRT,10,0,0,0,0,0,0,0,0,0
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,104,0,0,0,110,172,44,430,470,146
MEG_77/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,6,0,0,0,0,0,0,0,0,0
MEG_1183/Drugs/betalactams/Class_A_betalactamases/AST,0,0,0,0,0,16,0,0,0,0
MEG_7045/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,362,253,208,224,287,315,181,240,304,382
MEG_3870/Metals/Mercury_resistance/Mercury_resistance_protein/MERF,0,0,0,0,0,6,0,0,0,0
MEG_7103/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,110,72,42,130,26,43,53,49,30,115
MEG_6096/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,58,0,47,0,0,0,0,112,0,90
MEG_2944/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,10,0,0,0,0,0
MEG_4577/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,10,0,0,0,0
MEG_8687/Drugs/Mycobacterium_tuberculosis-specific_Drug/MDR_mutant_promoter/RV0678/RequiresSNPConfirmation,28,0,0,0,0,0,0,0,0,0
MEG_2315/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,14,0
MEG_5366/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,21,31,0,64,19,25,0,0,0,29
MEG_8670/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RPLC/RequiresSNPConfirmation,0,0,0,0,8,0,0,0,0,0
MEG_2730/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,14,0,0,6,0,0,0,0,0,0
MEG_4300/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/OPRM,0,0,0,0,0,30,0,0,0,0
MEG_2952/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,66,0,20,0,34,30,12,68,54,0
MEG_6609/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_3233/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,32,0,0,0,0,0,0
MEG_3747/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,68,125,25,130,39,43,34,62,393,0
MEG_4009/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,14,23,0,0,0,0,0,0,0,0
MEG_6645/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TBTA,0,0,0,0,0,0,0,64,0,0
MEG_31/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC3,0,0,24,0,0,0,0,0,0,0
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,28,14,16,21,0,22,25,8,15,21
MEG_5367/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,118,76,80,110,96,170,122,100,0,202
MEG_11/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1637,2160,1078,2531,1494,1688,1085,1141,1141,2129
MEG_7104/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,301,153,68,266,50,84,85,58,94,259
MEG_785/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,2,0,0,0,0,0,0,0,0
MEG_1459/Drugs/Glycopeptides/Bleomycin_resistance_protein/BLE,0,0,0,0,0,0,14,0,0,0
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,25,18,10,20,0,7,9,12,6,28
MEG_3199/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,183,191,119,217,133,250,120,168,224,205
MEG_6627/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,24,21,6,86,21,7,35,31,8,16
MEG_1279/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,4,0,0,0,0,0,0,0,0
