gene_accession,CAS05u_t2_M_AB,CAS04e_t2_M_AB,CAS01e_t2_M_AB,CAS03u_t2_M_AB,CAS02e_t2_M_AB,CAS04u_t2_M_AB,CAS03e_t2_M_AB,CAS05e_t2_M_AB,CAS01u_t2_M_AB,CAS02u_t2_M_AB
MEG_1185/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/AXY,0,0,0,0,0,0,82,0,126,206
MEG_2672/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,2,0,0,0
MEG_8226/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,0,0,0,0,2,0,0
MEG_8232/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LPTD,0,34,61,0,41,50,276,133,77,0
MEG_1048/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,20,0,0,0,0
MEG_8710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,2
MEG_6092/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,34,0,0,63,0,0
MEG_7176/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,0,0,6,0
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,0,0,0,0,40,0,0
MEG_7136/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,44,34,26,28,10,44,24,40,41,49
MEG_6897/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_1013/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,0,0,12,0,0,0,0
MEG_6509/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILS,0,0,0,0,26,0,122,51,0,0
MEG_6124/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,128,65,53,96,89,105,103,77,144,93
MEG_1245/Drugs/betalactams/Class_A_betalactamases/BLAA,0,0,0,0,0,30,0,22,20,0
MEG_5783/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,12,10,8,10,0,25,38,6,0
MEG_1053/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,6,11,9,4,13,27,8,9,3,59
MEG_432/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,6,0,0
MEG_6756/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6163/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,21,0,0,0,0,0,0,0,0,0
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,6,0,0,10,10,2,4,2,2
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,2,0,0,0,0,0,6,0
MEG_2830/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,28,0,0,0,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,16,24,12,22,22,20,12,44,12,19
MEG_6792/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5366/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,21,0,0,0,0,0,0,19,0
MEG_2976/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,6,0,0,0,0,0,0,0
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,3,0,0,0,0,0,11,23,0,0
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,16,41,37,15,30,48,59,49,34,43
MEG_3979/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,952,603,614,866,952,1043,739,1004,1172,1004
MEG_6627/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,15,18,12,10,15,12,30,27,26,22
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,532,304,416,532,700,676,468,718,616,589
MEG_2717/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/EMHC,0,0,0,0,0,0,0,28,0,0
MEG_6/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,5093,7983,4453,5859,7507,6218,7577,5343,7044,7244
MEG_3512/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,0,13,0,0,23,0,35,54,0,0
MEG_5385/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,35,60,0
MEG_7228/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,6,8,8,12,10,8,6,8,4
MEG_4162/Metals/Sodium_resistance/Sodium_resistance_protein/NHAA,0,0,0,0,0,0,50,40,0,0
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,4,26,0,0,24,4,46,82,0,22
MEG_2695/Drugs/betalactams/Class_B_betalactamases/EBR,10,0,0,0,0,0,0,0,0,0
MEG_4383/Drugs/Tetracyclines/Tetracycline_resistance_ABC_efflux_pumps/OTRC,0,0,0,0,0,140,98,0,0,102
MEG_7263/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,12,6,14,0,11,0,55,34,0,0
MEG_1162/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSCM,0,0,0,0,0,0,12,9,0,0
MEG_8456/Drugs/betalactams/Penicillin_binding_protein/PBP2/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,116,138
MEG_3765/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTP,0,0,0,0,0,0,65,15,0,0
MEG_6121/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,236,363,172,247,280,284,382,342,382,366
MEG_8144/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,44,36,34,28,47,62,79,53,57,35
MEG_6901/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_3857/Metals/Mercury_resistance/Mercury_resistance_protein/MERC,0,0,0,6,0,0,0,0,0,0
MEG_2832/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,0,0,0,0,20
MEG_8242/Drugs/Multi-drug_resistance/MDR_mutation/MDR/RequiresSNPConfirmation,0,110,146,160,214,0,140,198,232,216
MEG_6575/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,0,0,0,6,0,5,2,0,0
MEG_5780/Drugs/Lipopeptides/Daptomycin-resistant_mutant/PGSA/RequiresSNPConfirmation,0,0,0,0,0,0,0,10,0,0
MEG_3071/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSE/RequiresSNPConfirmation,0,0,14,34,29,29,28,32,36,72
MEG_2766/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,36,34,0,0,0,54,0,68,34
MEG_2084/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,4,90,38,20,31,48,137,68,42,30
MEG_6689/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_2715/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/EMHA,0,0,0,0,9,0,0,0,36,0
MEG_3987/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,208,225,238,284,274,255,234,317,465,471
MEG_1575/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,19,0,0,0,0,0,5,14,8
MEG_4173/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,14,0,0,0,0,0,39,22,0,0
MEG_989/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,40,29,18,0,0,0,0,28,42,46
MEG_4585/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,10,0
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,29,23,8,64,20,21,27,11,24,9
MEG_7590/Drugs/Glycopeptides/VanL-type_resistance_protein/VANXYL,0,0,0,0,0,0,0,0,0,18
MEG_1026/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,0,0,0,0,0,0,0,10,0,0
MEG_5775/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PFR,0,0,8,0,46,0,0,0,0,0
MEG_7045/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,198,245,146,175,241,267,264,220,301,214
MEG_7137/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,9,9,13,26,20,18,15,20,27,28
MEG_6824/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7330/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,19,14,0,0,41,0,122,141,0,10
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,58,86,64,62,88,0,0,60,64
MEG_1280/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,3,0,0,0
MEG_6843/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6536/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/SMTA,0,0,0,2,0,0,0,0,0,2
MEG_3876/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,4,4,0,0,0,0,0,0,0
MEG_6912/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,0,3,6,2,0,0
MEG_7209/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,2,10,2,8,4,16,0,2,6
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,201,128,184,176,207,312,155,263,311,249
MEG_6582/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,4,0,5,10,7,2,8,6,14,14
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,4,8,3,0,18,34,5,4,24,50
MEG_7615/Drugs/Glycopeptides/VanA-type_accessory_protein/VANZA,0,0,0,6,0,0,0,0,0,12
MEG_7319/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,299,217,177,242,230,207,257,211,288,222
MEG_5378/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,110,0,0,142,82
MEG_7806/Drugs/Lipopeptides/Daptomycin-resistant_mutant/WALK/RequiresSNPConfirmation,0,0,0,0,71,0,0,0,0,0
MEG_2132/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,109,130,106,136,124,109,202,166,151,133
MEG_7821/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,28,0,20,26,25,14,32,22,36,0
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,7,0,6,0,11,2,0,0,10,42
MEG_7835/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YIEF,4,19,13,0,15,10,64,50,16,0
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,52,0,0,45,86,74,118,68,100,100
MEG_1195/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,0,0,0,0,47,35,0,0
MEG_1278/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,4,0,0,0
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,101,139,83,83,189,80,109,72,114,142
MEG_6865/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7849/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZINT,20,0,0,0,0,0,16,17,0,0
MEG_2088/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORB,56,30,0,0,52,0,73,105,0,0
MEG_2043/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/COPBM,0,0,0,0,0,0,0,0,72,0
MEG_4331/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,6,12,0,0
MEG_1638/Drugs/betalactams/Class_A_betalactamases/CBP,0,84,0,0,0,0,0,0,78,124
MEG_3603/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,0,0,0,8,0,0
MEG_7477/Drugs/Glycopeptides/VanD-type_regulator/VANRD,0,0,0,0,0,0,0,0,18,18
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,206,178,128,223,243,221,239,284,289,209
MEG_2680/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,2,0,0,0,0,0
MEG_486/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,24,25,0,0
MEG_6677/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_4098/Drugs/betalactams/Class_B_betalactamases/MUS,0,0,0,0,0,0,0,0,12,0
MEG_6864/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,2,2,2,0,4,0
MEG_1593/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,27,0
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,20,2,12,6,10,26,6,11,10,8
MEG_4042/Drugs/MLS/Macrolide_phosphotransferases/MPHE,0,0,0,0,24,0,0,0,0,0
MEG_5319/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,4,0,0
MEG_8254/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,748,1142,743,597,1445,1568,1444,1187,1013,1169
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,75,105,84,48,121,115,140,75,105,133
MEG_402/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,36,20,0,0,61,0,68,121,0,0
MEG_7089/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETK,0,0,0,8,10,0,0,0,42,0
MEG_3083/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADX,0,0,0,0,0,0,32,12,0,0
MEG_3756/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,4,4,0,0,0,0,9,9,10,4
MEG_3285/Metals/Nickel_resistance/Nickel_resistance_protein/HUPN,0,0,0,0,0,0,0,10,0,0
MEG_3915/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXI,0,0,82,0,0,0,0,0,0,122
MEG_309/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,12,10
MEG_3065/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSA/RequiresSNPConfirmation,666,630,368,634,672,634,671,498,766,584
MEG_3627/Drugs/Lipopeptides/Colistin-resistant_mutant/LPXC/RequiresSNPConfirmation,0,38,0,0,26,0,32,0,36,27
MEG_5396/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARY,531,337,562,576,645,749,487,662,656,639
MEG_3005/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,6,0,0,0,0,0
MEG_6118/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,514,330,235,360,436,407,443,419,594,341
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,36,91,84,24,93,69,244,165,87,72
MEG_7484/Drugs/Glycopeptides/VanN-type_regulator/VANRN,0,0,70,0,48,0,30,0,70,0
MEG_6959/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERE,0,0,0,0,0,0,0,9,0,0
MEG_4357/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,13,0,0
MEG_6550/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/SOXRB,0,0,0,0,5,0,14,8,0,0
MEG_2037/Metals/Copper_resistance/Copper_resistance_protein/COPB,0,0,0,0,0,0,0,8,0,0
MEG_2444/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,10,0,0,0,0,34,31,0,0
MEG_6173/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,0,0,0,0,76,0,88,106,0,146
MEG_92/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,6,0,0,0,0,0,0,0
MEG_1729/Drugs/Multi-drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBD,0,0,0,0,12,0,0,0,0,0
MEG_6136/Drugs/Multi-drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,144,90,74,138,109,93,111,96,128,100
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,75,51,38,40,46,99,30,93,43,96
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,133,192,225,111,248,203,467,256,259,167
MEG_4352/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,10,14,0,0
MEG_6146/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSC/RequiresSNPConfirmation,2977,3153,2202,2861,3311,3380,3661,3035,3764,3262
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,32,31,76,0,41,77,196,85,44,30
MEG_3620/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUG,0,0,0,50,30,0,0,0,48,38
MEG_7616/Drugs/Glycopeptides/VanA-type_accessory_protein/VANZA,0,0,0,0,0,0,0,0,0,16
MEG_8249/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,12661,17841,10506,13520,17609,15174,21296,13698,16402,16253
MEG_7531/Drugs/Glycopeptides/VanG-type_resistance_protein/VANTG,0,0,0,0,0,0,0,0,0,80
MEG_5817/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,14,3,0,0,14,0,42,60,0,0
MEG_4287/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,16,12,11,0,17,20,58,45,73,0
MEG_4290/Drugs/betalactams/Mutant_porin_proteins/OMPR,0,17,0,0,0,8,0,16,20,0
MEG_6510/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILS,0,0,40,0,0,0,105,36,0,0
MEG_3187/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,28,0,30,16,0,36,101,39,17,0
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,16,28,0,0,12,29,22,0,52,8
MEG_6128/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,140,118,72,133,102,135,138,119,145,144
MEG_8087/Biocides/Aldehyde_resistance/Aldehyde_degradation/FORMA,15,0,0,0,12,0,16,0,10,0
MEG_8289/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPK/RequiresSNPConfirmation,0,0,0,0,32,0,24,63,0,0
MEG_6147/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSH/RequiresSNPConfirmation,3339,4144,2659,3488,4248,3939,4808,3407,4319,3899
MEG_6816/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7227/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,3,0,6,6,0,0,0,4,0
MEG_2667/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPSA,0,0,0,0,0,0,0,0,1,0
MEG_8662/Drugs/Metronidazole/rdxA_nitroimidazole_reductase/RDXA,0,0,18,0,0,0,0,0,0,0
MEG_3080/Biocides/Acid_resistance/Acid_resistance_regulator/GADE,0,0,0,0,0,0,15,2,0,0
MEG_3341/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,0,0,0,0,16
MEG_1091/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,9,10,13,0,27,20,2,12,26,47
MEG_6551/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS,2,0,0,2,0,0,16,3,0,0
MEG_8070/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,6
MEG_1467/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/BLTR,0,0,0,0,12,0,0,0,0,0
MEG_1101/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,0,0,0,0,0,0,0,0,0,16
MEG_2952/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,20,30,46,0,59,60,54,48
MEG_6747/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_8147/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,79,52
MEG_8101/Drugs/Metronidazole/fxr_nitroimidazole_reductase/FXRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,16
MEG_5334/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,32,104,84,50,100,96,130,137,100,106
MEG_5222/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,10
MEG_3636/Drugs/betalactams/Class_B_betalactamases/LRA,0,0,0,0,0,0,0,0,50,108
MEG_1120/Drugs/Aminoglycosides/16S_rRNA_methyltransferases/ARMA,0,18,0,0,0,0,0,0,30,0
MEG_8445/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,16,22,35,0,28,0,54,29,0,0
MEG_3911/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,0,0,0,0,0,0,0,0,36
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,26,0,0,0,30,0,47,29,0,0
MEG_6177/Drugs/betalactams/Class_A_betalactamases/SED,0,0,0,0,0,0,0,16,0,0
MEG_8725/Drugs/Glycopeptides/VanR-type_regulator/VANRS,0,0,0,0,0,0,0,5,0,0
MEG_4336/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,22,18,0,0
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,32,0,0,0,0,50,0,0,0
MEG_5815/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTC,30,32,24,26,52,0,179,133,26,16
MEG_1180/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/ASMA,10,0,0,16,6,0,54,30,0,0
MEG_1009/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH2-DPRIME,0,0,0,16,0,0,0,0,0,0
MEG_7288/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/TTGB,0,0,0,0,77,0,0,0,0,0
MEG_7215/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,23,20,34,8,40,22,30,62,18,30
MEG_4377/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/OSCA,4,0,0,0,0,0,0,0,0,0
MEG_4334/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,12,14,0,0
MEG_4097/Drugs/Glycopeptides/Vancomycin-resistant_mutation/MURG/RequiresSNPConfirmation,0,0,0,0,14,0,0,0,16,0
MEG_7236/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,2,2,4,4,8,4,8,6,8
MEG_4075/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRE,0,0,0,0,0,0,0,0,0,70
MEG_1929/Drugs/betalactams/Class_C_betalactamases/CMY,4,0,0,0,0,0,0,0,0,0
MEG_2729/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,26,0,0,0,17,0,45,50,0,0
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,2,0,0,0,0,0,10,13,0,0
MEG_5767/Drugs/betalactams/Class_A_betalactamases/PER,0,0,0,82,0,0,82,0,0,0
MEG_7861/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,0,0,0,0,0,10,10,0,0
MEG_2954/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,2,0,0,0
MEG_5321/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/OXYRKP,2,22,8,6,52,5,84,111,19,0
MEG_6781/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_395/Drugs/betalactams/Class_A_betalactamases/ACI,0,0,0,0,16,0,0,0,0,0
MEG_7090/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETK,0,0,0,0,4,0,0,0,0,0
MEG_6774/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,0,0,0,0,52,40
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,247,416,191,306,368,295,368,239,310,331
MEG_1/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1247,667,669,1041,1078,1205,892,1099,1398,1283
MEG_1298/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAR,0,0,0,52,0,0,0,0,0,0
